date,week,car_name,price,engine,seater,
2023.8.2,수,XM3 1.4 ,"82,500원",가솔린 ,5,
2023.8.2,수,디 올 뉴 코나 4WD ,"82,500원",가솔린 ,5,
2023.8.2,수,베리 뉴 티볼리 ,"82,500원",가솔린 ,5,
2023.8.2,수,셀토스 4WD ,"82,500원",디젤 ,5,
2023.8.2,수,토레스 4WD ,"90,000원",가솔린 ,5,
2023.8.2,수,INTERACTIVE K5 ,"93,500원",가솔린 ,5,
2023.8.2,수,쏘나타 DN8 ,"93,500원",가솔린 ,5,
2023.8.2,수,캐스퍼 ,"93,500원",가솔린 ,4,
2023.8.2,수,더 뉴 K3 ,"97,500원",가솔린 ,5,
2023.8.2,수,올 뉴 아반떼 ,"97,500원",가솔린 ,5,
2023.8.2,수,쏘렌토 MQ4 4WD ,"99,000원",디젤 ,7,
2023.8.2,수,K7 PREMIER ,"105,300원",가솔린 ,5,
2023.8.2,수,싼타페 TM 4WD ,"115,500원",디젤 ,7,
2023.8.2,수,더 뉴 그랜저 2.5 ,"117,000원",가솔린 ,5,
2023.8.2,수,제네시스 G80 3.3 ,"120,000원",가솔린 ,5,
2023.8.2,수,EV6 4WD ,"121,000원",전기 ,5,
2023.8.2,수,더 뉴 싼타페 4WD ,"121,000원",디젤 ,7,
2023.8.2,수,더 뉴 카니발 ,"121,000원",디젤 ,9,
2023.8.2,수,아이오닉 5 4WD ,"121,000원",전기 ,5,
2023.8.2,수,THE NEW G70 2.0 ,"123,200원",가솔린 ,5,
2023.8.2,수,K8 2.5 ,"125,000원",가솔린 ,5,
2023.8.2,수,G70 SHOOTING BRAKE ,"126,500원",가솔린 ,5,
2023.8.2,수,스타리아 ,"126,500원",디젤 ,11,
2023.8.2,수,더 뉴 카니발 리무진 ,"137,500원",디젤 ,7,
2023.8.2,수,팰리세이드 4WD ,"148,500원",디젤 ,8,
2023.8.2,수,카니발 KA4 ,"149,500원",디젤 ,9,
2023.8.2,수,THE K9 3.8 ,"152,000원",가솔린 ,5,
2023.8.2,수,GV60 4WD ,"154,000원",전기 ,5,
2023.8.2,수,카니발 KA4 하이리무진 ,"162,000원",가솔린 ,7,
2023.8.2,수,GV70 ,"165,000원",전기 ,5,
2023.8.2,수,TESLA MODEL 3 ,"165,000원",전기 ,5,
2023.8.2,수,GV80 4WD ,"180,000원",디젤 ,7,
2023.8.2,수,G90 3.8 ,"196,000원",가솔린 ,5,
2023.8.2,수,All New G80 ,"215,000원",전기 ,5,
2023.8.2,수,쏠라티 ,"357,500원",디젤 ,15,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
