date,week,car_name,price,engine,seater,
2023.8.3,목,모닝 어반 ,"70,400원",가솔린 ,5,
2023.8.3,목,INTERACTIVE K5 ,"76,500원",가솔린 ,5,
2023.8.3,목,쏘나타 DN8 ,"76,500원",가솔린 ,5,
2023.8.3,목,코나 ,"80,000원",전기 ,5,
2023.8.3,목,더 뉴 K3 ,"84,500원",가솔린 ,5,
2023.8.3,목,올 뉴 아반떼 ,"84,500원",가솔린 ,5,
2023.8.3,목,니로 ,"85,000원",전기 ,5,
2023.8.3,목,캐스퍼 ,"88,000원",가솔린 ,4,
2023.8.3,목,XM3 1.4 ,"90,000원",가솔린 ,5,
2023.8.3,목,디 올 뉴 코나 4WD ,"90,000원",가솔린 ,5,
2023.8.3,목,셀토스 4WD ,"90,000원",디젤 ,5,
2023.8.3,목,THE NEW G70 2.0 ,"100,800원",가솔린 ,5,
2023.8.3,목,G70 SHOOTING BRAKE ,"103,500원",가솔린 ,5,
2023.8.3,목,K7 PREMIER ,"105,300원",가솔린 ,5,
2023.8.3,목,더 뉴 그랜저 2.5 ,"105,300원",가솔린 ,5,
2023.8.3,목,EV6 4WD ,"110,000원",전기 ,5,
2023.8.3,목,아이오닉 5 4WD ,"110,000원",전기 ,5,
2023.8.3,목,토레스 4WD ,"110,000원",가솔린 ,5,
2023.8.3,목,K8 2.5 ,"112,500원",가솔린 ,5,
2023.8.3,목,All New G80 2.5 ,"120,000원",가솔린 ,5,
2023.8.3,목,제네시스 G80 3.3 ,"120,000원",가솔린 ,5,
2023.8.3,목,쏘렌토 MQ4 4WD ,"121,000원",디젤 ,7,
2023.8.3,목,싼타페 TM ,"126,000원",디젤 ,7,
2023.8.3,목,더 뉴 싼타페 4WD ,"132,000원",디젤 ,7,
2023.8.3,목,GV60 4WD ,"140,000원",전기 ,5,
2023.8.3,목,더 뉴 카니발 ,"143,000원",디젤 ,9,
2023.8.3,목,TESLA MODEL 3 ,"148,500원",전기 ,5,
2023.8.3,목,스타리아 ,"149,500원",디젤 ,11,
2023.8.3,목,GV70 ,"150,000원",전기 ,5,
2023.8.3,목,THE K9 3.8 ,"152,000원",가솔린 ,5,
2023.8.3,목,카니발 KA4 ,"161,000원",디젤 ,9,
2023.8.3,목,더 뉴 카니발 리무진 ,"162,500원",디젤 ,7,
2023.8.3,목,카니발 KA4 하이리무진 ,"180,000원",가솔린 ,7,
2023.8.3,목,팰리세이드 4WD ,"181,500원",디젤 ,8,
2023.8.3,목,All New G80 ,"193,500원",전기 ,5,
2023.8.3,목,G90 3.8 ,"196,000원",가솔린 ,5,
2023.8.3,목,GV80 4WD ,"220,000원",디젤 ,7,
2023.8.3,목,쏠라티 ,"385,000원",디젤 ,15,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
