Hotel_name,Date,Price,Client,Rating,Grade,Address,Day
휘닉스 제주 섭지코지,2023-07-25,345454,3,7.8,4,"서귀포, 대한민국",화
탐라스테이 호텔 제주,2023-07-25,184380,3,7.7,4,"제주, 대한민국",화
더 베스트 제주 성산,2023-07-25,62295,3,7.9,4,"서귀포, 대한민국",화
호텔 리젠트 마린 더 블루,2023-07-25,113843,3,8.2,4,"제주, 대한민국",화
그랜드 조선 제주,2023-07-25,470000,3,8.9,5,"서귀포, 대한민국",화
롯데시티호텔 제주,2023-07-25,177728,3,8.5,4,"제주, 대한민국",화
더 그랜드 섬오름,2023-07-25,190000,3,8.3,3,"서귀포, 대한민국",화
더큐브 리조트 제주,2023-07-25,86221,3,8.2,4,"서귀포, 대한민국",화
코델리아 S 호텔,2023-07-25,33058,3,7.6,3,"서귀포, 대한민국",화
서머셋 제주신화월드,2023-07-25,605045,3,8.6,5,"서귀포, 대한민국",화
히든 클리프 호텔&네이쳐,2023-07-25,370182,3,8.3,5,"서귀포, 대한민국",화
신화관 제주신화월드 호텔앤리조트,2023-07-25,433636,3,8.3,5,"서귀포, 대한민국",화
유탑 유블레스호텔,2023-07-25,157091,3,8.0,4,"제주, 대한민국",화
캠퍼트리 호텔 앤 리조트,2023-07-25,319091,3,8.4,4,"제주, 대한민국",화
한림리조트,2023-07-25,212400,3,8.8,4,"제주, 대한민국",화
그라벨 호텔,2023-07-25,119835,3,8.1,3,"제주, 대한민국",화
호텔 케니 서귀포,2023-07-25,41000,3,8.1,4,"서귀포, 대한민국",화
브라운 스위트 제주,2023-07-25,66116,3,7.3,5,"서귀포, 대한민국",화
메리어트관 제주신화월드 호텔앤리조트,2023-07-25,354539,3,8.4,4,"서귀포, 대한민국",화
호텔 난타,2023-07-25,114617,3,8.6,4,"제주, 대한민국",화
서귀포 JS호텔,2023-07-25,68343,3,8.4,3,"서귀포, 대한민국",화
스타즈 호텔 제주 로베로점,2023-07-25,93388,3,8.0,4,"제주, 대한민국",화
골든튤립 제주성산호텔,2023-07-25,75294,3,7.7,4,"서귀포, 대한민국",화
제주 디 아일랜드 블루 호텔,2023-07-25,68000,3,8.1,5,"서귀포, 대한민국",화
WE호텔 제주,2023-07-25,238017,3,8.5,3,"서귀포, 대한민국",화
엠스테이 호텔 제주,2023-07-25,45089,3,7.8,4,"서귀포, 대한민국",화
호텔 샬롬 제주,2023-07-25,57852,3,7.9,4,"제주, 대한민국",화
호텔 토스카나,2023-07-25,326468,3,9.0,5,"서귀포, 대한민국",화
오션스위츠 제주 호텔,2023-07-25,103306,3,8.1,4,"제주, 대한민국",화
아시아호텔,2023-07-25,76034,3,8.4,4,"제주, 대한민국",화
글로스터 호텔 제주,2023-07-25,79850,3,8.3,5,"제주, 대한민국",화
스위트 호텔 제주,2023-07-25,186942,3,8.3,3,"서귀포, 대한민국",화
레슬리 호텔,2023-07-25,65520,3,7.8,3,"제주, 대한민국",화
켄싱턴리조트 서귀포,2023-07-25,214050,3,8.1,4,"서귀포, 대한민국",화
제주 항공우주 호텔,2023-07-25,98182,3,8.4,4,"서귀포, 대한민국",화
유니호텔 제주,2023-07-25,136943,3,7.7,4,"제주, 대한민국",화
금호 제주 리조트,2023-07-25,141217,3,7.4,4,"서귀포, 대한민국",화
신신호텔 제주공항,2023-07-25,59643,3,7.6,4,"제주, 대한민국",화
제주 센트럴시티호텔,2023-07-25,70081,3,7.7,4,"제주, 대한민국",화
플레이스 캠프 제주,2023-07-25,202008,3,8.3,3,"서귀포, 대한민국",화
