Hotel_name,Date,Price,Client,Rating,Grade,Address
롯데 호텔 제주,08.28.Mon,500000,1,8.8,5,"서귀포, 대한민국"
라마다 제주 시티 호텔,08.28.Mon,79090,1,8.1,4,"제주, 대한민국"
파르나스 호텔 제주,08.28.Mon,620000,1,9.2,5,"서귀포, 대한민국"
베스트웨스턴 제주호텔,08.28.Mon,72331,1,7.6,4,"제주, 대한민국"
랜딩관 제주신화월드 호텔앤리조트,08.28.Mon,210682,1,8.3,5,"서귀포, 대한민국"
메종 글래드 제주,08.28.Mon,128698,1,8.1,5,"제주, 대한민국"
에코랜드 호텔,08.28.Mon,317418,1,8.6,5,"제주, 대한민국"
제주 신라 호텔,08.28.Mon,457716,1,9.0,5,"서귀포, 대한민국"
라마다 프라자 제주 호텔,08.28.Mon,204326,1,8.2,5,"제주, 대한민국"
그랜드 하얏트 제주,08.28.Mon,437998,1,8.8,5,"제주, 대한민국"
신라스테이 제주,08.28.Mon,118800,1,8.0,4,"제주, 대한민국"
호텔 휘슬락 바이 베스트웨스턴 시그니처 컬렉션,08.28.Mon,98946,1,7.7,4,"제주, 대한민국"
제주 부영 호텔&리조트,08.28.Mon,180992,1,9.1,5,"서귀포, 대한민국"
휘닉스 제주 섭지코지,08.28.Mon,311690,1,7.8,4,"서귀포, 대한민국"
탐라스테이 호텔 제주,08.28.Mon,92752,1,7.7,4,"제주, 대한민국"
더 베스트 제주 성산,08.28.Mon,48348,1,7.9,4,"서귀포, 대한민국"
호텔 리젠트 마린 더 블루,08.28.Mon,113223,1,8.2,4,"제주, 대한민국"
그랜드 조선 제주,08.28.Mon,459000,1,8.9,5,"서귀포, 대한민국"
롯데시티호텔 제주,08.28.Mon,154546,1,8.5,4,"제주, 대한민국"
더 그랜드 섬오름,08.28.Mon,170000,1,8.3,3,"서귀포, 대한민국"
더큐브 리조트 제주,08.28.Mon,86221,1,8.2,4,"서귀포, 대한민국"
서머셋 제주신화월드,08.28.Mon,669583,1,8.6,5,"서귀포, 대한민국"
히든 클리프 호텔&네이쳐,08.28.Mon,279360,1,8.3,5,"서귀포, 대한민국"
해비치 호텔 & 리조트,08.28.Mon,450000,1,8.6,5,"서귀포, 대한민국"
엠버퓨어힐호텔&리조트,08.28.Mon,413224,1,9.2,5,"제주, 대한민국"
신화관 제주신화월드 호텔앤리조트,08.28.Mon,343106,1,8.3,5,"서귀포, 대한민국"
유탑 유블레스호텔,08.28.Mon,131957,1,8.0,4,"제주, 대한민국"
캠퍼트리 호텔 앤 리조트,08.28.Mon,153636,1,8.4,4,"제주, 대한민국"
한림리조트,08.28.Mon,199122,1,8.8,4,"제주, 대한민국"
그라벨 호텔,08.28.Mon,111271,1,8.1,3,"제주, 대한민국"
호텔 케니 서귀포,08.28.Mon,28901,1,8.1,4,"서귀포, 대한민국"
브라운 스위트 제주,08.28.Mon,52945,1,7.3,5,"서귀포, 대한민국"
메리어트관 제주신화월드 호텔앤리조트,08.28.Mon,280219,1,8.4,4,"서귀포, 대한민국"
호텔 난타,08.28.Mon,64013,1,8.6,4,"제주, 대한민국"
서귀포 JS호텔,08.28.Mon,61010,1,8.4,3,"서귀포, 대한민국"
스타즈 호텔 제주 로베로점,08.28.Mon,36637,1,8.0,4,"제주, 대한민국"
세인트 비치 호텔,08.28.Mon,100800,1,7.4,4,"제주, 대한민국"
골든튤립 제주성산호텔,08.28.Mon,60465,1,7.7,5,"서귀포, 대한민국"
제주 디 아일랜드 블루 호텔,08.28.Mon,59299,1,8.1,등급 정보 없음,"서귀포, 대한민국"
WE호텔 제주,08.28.Mon,190414,1,8.5,등급 정보 없음,"서귀포, 대한민국"
훈데르트힐즈,08.28.Mon,241795,1,평점없음,3,"제주, 대한민국"
라온 호텔 앤 리조트,08.28.Mon,60087,1,6.8,4,"제주, 대한민국"
엠스테이 호텔 제주,08.28.Mon,119835,1,7.8,4,"서귀포, 대한민국"
호텔 시리우스,08.28.Mon,82857,1,8.3,4,"제주, 대한민국"
호텔 샬롬 제주,08.28.Mon,48690,1,7.9,5,"제주, 대한민국"
호텔 토스카나,08.28.Mon,277686,1,9.0,4,"서귀포, 대한민국"
오션스위츠 제주 호텔,08.28.Mon,86777,1,8.1,5,"제주, 대한민국"
아시아호텔,08.28.Mon,58016,1,8.4,3,"제주, 대한민국"
스탠포드 호텔 & 리조트 제주,08.28.Mon,142464,1,8.0,3,"제주, 대한민국"
스위트 호텔 제주,08.28.Mon,189307,1,8.3,4,"서귀포, 대한민국"
레슬리 호텔,08.28.Mon,46800,1,7.8,4,"제주, 대한민국"
켄싱턴리조트 서귀포,08.28.Mon,205785,1,8.1,4,"서귀포, 대한민국"
제주 항공우주 호텔,08.28.Mon,70348,1,8.4,4,"서귀포, 대한민국"
유니호텔 제주,08.28.Mon,112975,1,7.7,4,"제주, 대한민국"
금호 제주 리조트,08.28.Mon,158840,1,7.4,4,"서귀포, 대한민국"
신신호텔 제주공항,08.28.Mon,39543,1,7.6,3,"제주, 대한민국"
제주 센트럴시티호텔,08.28.Mon,60509,1,7.7,4,"제주, 대한민국"
플레이스 캠프 제주,08.28.Mon,39079,1,8.3,등급 정보 없음,"서귀포, 대한민국"
담모라 리조트,08.28.Mon,38799,1,7.3,등급 정보 없음,"서귀포, 대한민국"
신신호텔 제주월드컵,08.28.Mon,28591,1,7.7,등급 정보 없음,"서귀포, 대한민국"
롯데 호텔 제주,08.28.Mon,500000,2,8.8,5,"서귀포, 대한민국"
라마다 제주 시티 호텔,08.28.Mon,79090,2,8.1,4,"제주, 대한민국"
파르나스 호텔 제주,08.28.Mon,620000,2,9.2,5,"서귀포, 대한민국"
베스트웨스턴 제주호텔,08.28.Mon,73562,2,7.6,4,"제주, 대한민국"
랜딩관 제주신화월드 호텔앤리조트,08.28.Mon,210682,2,8.3,5,"서귀포, 대한민국"
메종 글래드 제주,08.28.Mon,128698,2,8.1,5,"제주, 대한민국"
에코랜드 호텔,08.28.Mon,317418,2,8.6,5,"제주, 대한민국"
제주 신라 호텔,08.28.Mon,457716,2,9.0,5,"서귀포, 대한민국"
라마다 프라자 제주 호텔,08.28.Mon,204326,2,8.2,5,"제주, 대한민국"
그랜드 하얏트 제주,08.28.Mon,437998,2,8.8,5,"제주, 대한민국"
신라스테이 제주,08.28.Mon,118800,2,8.0,4,"제주, 대한민국"
호텔 휘슬락 바이 베스트웨스턴 시그니처 컬렉션,08.28.Mon,98946,2,7.7,4,"제주, 대한민국"
제주 부영 호텔&리조트,08.28.Mon,180992,2,9.1,5,"서귀포, 대한민국"
휘닉스 제주 섭지코지,08.28.Mon,311690,2,7.8,4,"서귀포, 대한민국"
탐라스테이 호텔 제주,08.28.Mon,92752,2,7.7,4,"제주, 대한민국"
더 베스트 제주 성산,08.28.Mon,48348,2,7.9,4,"서귀포, 대한민국"
호텔 리젠트 마린 더 블루,08.28.Mon,113223,2,8.2,4,"제주, 대한민국"
그랜드 조선 제주,08.28.Mon,459000,2,8.9,5,"서귀포, 대한민국"
롯데시티호텔 제주,08.28.Mon,154546,2,8.5,4,"제주, 대한민국"
더 그랜드 섬오름,08.28.Mon,170000,2,8.3,3,"서귀포, 대한민국"
더큐브 리조트 제주,08.28.Mon,86221,2,8.2,4,"서귀포, 대한민국"
서머셋 제주신화월드,08.28.Mon,669583,2,8.6,5,"서귀포, 대한민국"
히든 클리프 호텔&네이쳐,08.28.Mon,279360,2,8.3,5,"서귀포, 대한민국"
해비치 호텔 & 리조트,08.28.Mon,450000,2,8.6,5,"서귀포, 대한민국"
엠버퓨어힐호텔&리조트,08.28.Mon,413224,2,9.2,5,"제주, 대한민국"
신화관 제주신화월드 호텔앤리조트,08.28.Mon,343106,2,8.3,5,"서귀포, 대한민국"
유탑 유블레스호텔,08.28.Mon,131957,2,8.0,4,"제주, 대한민국"
캠퍼트리 호텔 앤 리조트,08.28.Mon,153636,2,8.4,4,"제주, 대한민국"
한림리조트,08.28.Mon,199122,2,8.8,4,"제주, 대한민국"
그라벨 호텔,08.28.Mon,111271,2,8.1,3,"제주, 대한민국"
호텔 케니 서귀포,08.28.Mon,33464,2,8.1,4,"서귀포, 대한민국"
브라운 스위트 제주,08.28.Mon,52945,2,7.3,5,"서귀포, 대한민국"
메리어트관 제주신화월드 호텔앤리조트,08.28.Mon,280219,2,8.4,4,"서귀포, 대한민국"
호텔 난타,08.28.Mon,64013,2,8.6,4,"제주, 대한민국"
서귀포 JS호텔,08.28.Mon,61010,2,8.4,3,"서귀포, 대한민국"
스타즈 호텔 제주 로베로점,08.28.Mon,36637,2,8.0,4,"제주, 대한민국"
세인트 비치 호텔,08.28.Mon,100800,2,7.4,4,"제주, 대한민국"
골든튤립 제주성산호텔,08.28.Mon,60465,2,7.7,5,"서귀포, 대한민국"
제주 디 아일랜드 블루 호텔,08.28.Mon,59299,2,8.1,등급 정보 없음,"서귀포, 대한민국"
WE호텔 제주,08.28.Mon,190414,2,8.5,등급 정보 없음,"서귀포, 대한민국"
훈데르트힐즈,08.28.Mon,241795,2,평점없음,3,"제주, 대한민국"
라온 호텔 앤 리조트,08.28.Mon,60087,2,6.8,4,"제주, 대한민국"
