Hotel_name,Date,Price,Client,Rating,Grade,Address
롯데 호텔 제주,08.07.Mon,500000,1,8.8,5,"서귀포, 대한민국"
라마다 제주 시티 호텔,08.07.Mon,76186,1,8.1,4,"제주, 대한민국"
파르나스 호텔 제주,08.07.Mon,620000,1,9.2,5,"서귀포, 대한민국"
베스트웨스턴 제주호텔,08.07.Mon,65689,1,7.6,4,"제주, 대한민국"
랜딩관 제주신화월드 호텔앤리조트,08.07.Mon,196992,1,8.3,5,"서귀포, 대한민국"
메종 글래드 제주,08.07.Mon,114436,1,8.1,5,"제주, 대한민국"
에코랜드 호텔,08.07.Mon,344213,1,8.6,5,"제주, 대한민국"
제주 신라 호텔,08.07.Mon,496548,1,9.0,5,"서귀포, 대한민국"
라마다 프라자 제주 호텔,08.07.Mon,181818,1,8.2,5,"제주, 대한민국"
그랜드 하얏트 제주,08.07.Mon,427998,1,8.8,5,"제주, 대한민국"
신라스테이 제주,08.07.Mon,113850,1,8.0,4,"제주, 대한민국"
호텔 휘슬락 바이 베스트웨스턴 시그니처 컬렉션,08.07.Mon,88055,1,7.7,4,"제주, 대한민국"
호텔 브릿지 서귀포,08.07.Mon,45592,1,8.0,4,"서귀포, 대한민국"
제주 부영 호텔&리조트,08.07.Mon,180992,1,9.1,5,"서귀포, 대한민국"
휘닉스 제주 섭지코지,08.07.Mon,311690,1,7.8,4,"서귀포, 대한민국"
탐라스테이 호텔 제주,08.07.Mon,95483,1,7.7,4,"제주, 대한민국"
더 베스트 제주 성산,08.07.Mon,48348,1,7.9,4,"서귀포, 대한민국"
호텔 리젠트 마린 더 블루,08.07.Mon,113843,1,8.2,4,"제주, 대한민국"
그랜드 조선 제주,08.07.Mon,425000,1,8.9,5,"서귀포, 대한민국"
롯데시티호텔 제주,08.07.Mon,163637,1,8.5,4,"제주, 대한민국"
더 그랜드 섬오름,08.07.Mon,170000,1,8.3,3,"서귀포, 대한민국"
더큐브 리조트 제주,08.07.Mon,78383,1,8.2,4,"서귀포, 대한민국"
코델리아 S 호텔,08.07.Mon,33058,1,7.6,3,"서귀포, 대한민국"
서머셋 제주신화월드,08.07.Mon,605045,1,8.6,5,"서귀포, 대한민국"
히든 클리프 호텔&네이쳐,08.07.Mon,260000,1,8.3,5,"서귀포, 대한민국"
해비치 호텔 & 리조트,08.07.Mon,450000,1,8.6,5,"서귀포, 대한민국"
엠버퓨어힐호텔&리조트,08.07.Mon,371901,1,9.2,5,"제주, 대한민국"
신화관 제주신화월드 호텔앤리조트,08.07.Mon,339364,1,8.3,5,"서귀포, 대한민국"
유탑 유블레스호텔,08.07.Mon,123055,1,8.0,4,"제주, 대한민국"
캠퍼트리 호텔 앤 리조트,08.07.Mon,140579,1,8.4,4,"제주, 대한민국"
한림리조트,08.07.Mon,182988,1,8.8,4,"제주, 대한민국"
그라벨 호텔,08.07.Mon,111271,1,8.1,3,"제주, 대한민국"
호텔 케니 서귀포,08.07.Mon,28901,1,8.1,4,"서귀포, 대한민국"
브라운 스위트 제주,08.07.Mon,53684,1,7.3,5,"서귀포, 대한민국"
메리어트관 제주신화월드 호텔앤리조트,08.07.Mon,269488,1,8.4,4,"서귀포, 대한민국"
호텔 난타,08.07.Mon,68470,1,8.6,4,"제주, 대한민국"
서귀포 JS호텔,08.07.Mon,54515,1,8.4,3,"서귀포, 대한민국"
스타즈 호텔 제주 로베로점,08.07.Mon,35784,1,8.0,4,"제주, 대한민국"
세인트 비치 호텔,08.07.Mon,101818,1,7.4,등급 정보 없음,"제주, 대한민국"
