Hotel_name,Date,Price,Client,Rating,Grade,Address
휘닉스 제주 섭지코지,08.09.Wed,311690,2,7.8,4,"서귀포, 대한민국"
탐라스테이 호텔 제주,08.09.Wed,95483,2,7.7,4,"제주, 대한민국"
더 베스트 제주 성산,08.09.Wed,48348,2,7.9,4,"서귀포, 대한민국"
호텔 리젠트 마린 더 블루,08.09.Wed,113843,2,8.2,4,"제주, 대한민국"
그랜드 조선 제주,08.09.Wed,425000,2,8.9,5,"서귀포, 대한민국"
롯데시티호텔 제주,08.09.Wed,163637,2,8.5,4,"제주, 대한민국"
더 그랜드 섬오름,08.09.Wed,170000,2,8.3,3,"서귀포, 대한민국"
더큐브 리조트 제주,08.09.Wed,78383,2,8.2,4,"서귀포, 대한민국"
코델리아 S 호텔,08.09.Wed,33058,2,7.6,3,"서귀포, 대한민국"
서머셋 제주신화월드,08.09.Wed,605045,2,8.6,5,"서귀포, 대한민국"
히든 클리프 호텔&네이쳐,08.09.Wed,260000,2,8.3,5,"서귀포, 대한민국"
해비치 호텔 & 리조트,08.09.Wed,450000,2,8.6,5,"서귀포, 대한민국"
엠버퓨어힐호텔&리조트,08.09.Wed,371901,2,9.2,5,"제주, 대한민국"
신화관 제주신화월드 호텔앤리조트,08.09.Wed,339364,2,8.3,5,"서귀포, 대한민국"
유탑 유블레스호텔,08.09.Wed,123055,2,8.0,4,"제주, 대한민국"
캠퍼트리 호텔 앤 리조트,08.09.Wed,140579,2,8.4,4,"제주, 대한민국"
한림리조트,08.09.Wed,182988,2,8.8,4,"제주, 대한민국"
그라벨 호텔,08.09.Wed,111271,2,8.1,3,"제주, 대한민국"
호텔 케니 서귀포,08.09.Wed,33408,2,8.1,4,"서귀포, 대한민국"
브라운 스위트 제주,08.09.Wed,53684,2,7.3,5,"서귀포, 대한민국"
메리어트관 제주신화월드 호텔앤리조트,08.09.Wed,269488,2,8.4,4,"서귀포, 대한민국"
호텔 난타,08.09.Wed,68470,2,8.6,4,"제주, 대한민국"
서귀포 JS호텔,08.09.Wed,54515,2,8.4,3,"서귀포, 대한민국"
스타즈 호텔 제주 로베로점,08.09.Wed,35784,2,8.0,4,"제주, 대한민국"
세인트 비치 호텔,08.09.Wed,101818,2,7.4,등급 정보 없음,"제주, 대한민국"
골든튤립 제주성산호텔,08.09.Wed,60465,2,7.7,등급 정보 없음,"서귀포, 대한민국"
제주 디 아일랜드 블루 호텔,08.09.Wed,59500,2,8.1,4,"서귀포, 대한민국"
WE호텔 제주,08.09.Wed,196364,2,8.5,5,"서귀포, 대한민국"
훈데르트힐즈,08.09.Wed,185704,2,평점없음,3,"제주, 대한민국"
라온 호텔 앤 리조트,08.09.Wed,67382,2,6.8,4,"제주, 대한민국"
엠스테이 호텔 제주,08.09.Wed,35362,2,7.8,4,"서귀포, 대한민국"
