Hotel_name,Date,Price,Client,Rating,Grade,Address
롯데 호텔 제주,08.23.Wed,500000,1,8.8,5,"서귀포, 대한민국"
라마다 제주 시티 호텔,08.23.Wed,79090,1,8.1,4,"제주, 대한민국"
파르나스 호텔 제주,08.23.Wed,620000,1,9.2,5,"서귀포, 대한민국"
베스트웨스턴 제주호텔,08.23.Wed,72331,1,7.6,4,"제주, 대한민국"
랜딩관 제주신화월드 호텔앤리조트,08.23.Wed,214444,1,8.3,5,"서귀포, 대한민국"
메종 글래드 제주,08.23.Wed,128698,1,8.1,5,"제주, 대한민국"
에코랜드 호텔,08.23.Wed,317418,1,8.6,5,"제주, 대한민국"
제주 신라 호텔,08.23.Wed,457716,1,9.0,5,"서귀포, 대한민국"
라마다 프라자 제주 호텔,08.23.Wed,204326,1,8.2,5,"제주, 대한민국"
그랜드 하얏트 제주,08.23.Wed,437998,1,8.8,5,"제주, 대한민국"
신라스테이 제주,08.23.Wed,118800,1,8.0,4,"제주, 대한민국"
호텔 휘슬락 바이 베스트웨스턴 시그니처 컬렉션,08.23.Wed,100712,1,7.7,4,"제주, 대한민국"
제주 부영 호텔&리조트,08.23.Wed,180992,1,9.1,5,"서귀포, 대한민국"
휘닉스 제주 섭지코지,08.23.Wed,311690,1,7.8,4,"서귀포, 대한민국"
탐라스테이 호텔 제주,08.23.Wed,92752,1,7.7,4,"제주, 대한민국"
더 베스트 제주 성산,08.23.Wed,48348,1,7.9,4,"서귀포, 대한민국"
호텔 리젠트 마린 더 블루,08.23.Wed,113223,1,8.2,4,"제주, 대한민국"
그랜드 조선 제주,08.23.Wed,459000,1,8.9,5,"서귀포, 대한민국"
롯데시티호텔 제주,08.23.Wed,154546,1,8.5,4,"제주, 대한민국"
더 그랜드 섬오름,08.23.Wed,170000,1,8.3,3,"서귀포, 대한민국"
더큐브 리조트 제주,08.23.Wed,86221,1,8.2,4,"서귀포, 대한민국"
서머셋 제주신화월드,08.23.Wed,669583,1,8.6,5,"서귀포, 대한민국"
히든 클리프 호텔&네이쳐,08.23.Wed,279360,1,8.3,5,"서귀포, 대한민국"
해비치 호텔 & 리조트,08.23.Wed,450000,1,8.6,5,"서귀포, 대한민국"
엠버퓨어힐호텔&리조트,08.23.Wed,413224,1,9.2,5,"제주, 대한민국"
신화관 제주신화월드 호텔앤리조트,08.23.Wed,343106,1,8.3,5,"서귀포, 대한민국"
유탑 유블레스호텔,08.23.Wed,131957,1,8.0,4,"제주, 대한민국"
