Hotel_name,Date,Price,Client,Rating,Grade,Address
랜딩관 제주신화월드 호텔앤리조트,07.25.Tue,253872,3,8.3,5,"서귀포, 대한민국"
메종 글래드 제주,07.25.Tue,150052,3,8.1,5,"제주, 대한민국"
에코랜드 호텔,07.25.Tue,424628,3,8.6,5,"제주, 대한민국"
제주 신라 호텔,07.25.Tue,561000,3,9.0,5,"서귀포, 대한민국"
라마다 프라자 제주 호텔,07.25.Tue,185950,3,8.2,5,"제주, 대한민국"
그랜드 하얏트 제주,07.25.Tue,428000,3,8.8,5,"제주, 대한민국"
신라스테이 제주,07.25.Tue,154440,3,8.0,4,"제주, 대한민국"
호텔 휘슬락 바이 베스트웨스턴 시그니처 컬렉션,07.25.Tue,98141,3,7.7,4,"제주, 대한민국"
제주 부영 호텔&리조트,07.25.Tue,211308,3,9.1,5,"서귀포, 대한민국"
휘닉스 제주 섭지코지,07.25.Tue,345454,3,7.8,4,"서귀포, 대한민국"
탐라스테이 호텔 제주,07.25.Tue,184380,3,7.7,4,"제주, 대한민국"
더 베스트 제주 성산,07.25.Tue,62295,3,7.9,4,"서귀포, 대한민국"
호텔 리젠트 마린 더 블루,07.25.Tue,113843,3,8.2,4,"제주, 대한민국"
그랜드 조선 제주,07.25.Tue,470000,3,8.9,5,"서귀포, 대한민국"
롯데시티호텔 제주,07.25.Tue,177728,3,8.5,4,"제주, 대한민국"
더 그랜드 섬오름,07.25.Tue,190000,3,8.3,3,"서귀포, 대한민국"
더큐브 리조트 제주,07.25.Tue,86221,3,8.2,4,"서귀포, 대한민국"
코델리아 S 호텔,07.25.Tue,33058,3,7.6,3,"서귀포, 대한민국"
서머셋 제주신화월드,07.25.Tue,605045,3,8.6,5,"서귀포, 대한민국"
히든 클리프 호텔&네이쳐,07.25.Tue,370182,3,8.3,5,"서귀포, 대한민국"
신화관 제주신화월드 호텔앤리조트,07.25.Tue,433636,3,8.3,5,"서귀포, 대한민국"
유탑 유블레스호텔,07.25.Tue,157091,3,8.0,4,"제주, 대한민국"
캠퍼트리 호텔 앤 리조트,07.25.Tue,319091,3,8.4,4,"제주, 대한민국"
한림리조트,07.25.Tue,212400,3,8.8,4,"제주, 대한민국"
그라벨 호텔,07.25.Tue,119835,3,8.1,3,"제주, 대한민국"
호텔 케니 서귀포,07.25.Tue,41000,3,8.1,4,"서귀포, 대한민국"
브라운 스위트 제주,07.25.Tue,66116,3,7.3,5,"서귀포, 대한민국"
메리어트관 제주신화월드 호텔앤리조트,07.25.Tue,354539,3,8.4,4,"서귀포, 대한민국"
호텔 난타,07.25.Tue,114617,3,8.6,4,"제주, 대한민국"
서귀포 JS호텔,07.25.Tue,68343,3,8.4,3,"서귀포, 대한민국"
스타즈 호텔 제주 로베로점,07.25.Tue,93388,3,8.0,4,"제주, 대한민국"
