Hotel_name,Date,Price,Client,Rating,Grade,Address
롯데 호텔 제주,08.27.Sun,500000,1,8.8,5,"서귀포, 대한민국"
라마다 제주 시티 호텔,08.27.Sun,79090,1,8.1,4,"제주, 대한민국"
파르나스 호텔 제주,08.27.Sun,620000,1,9.2,5,"서귀포, 대한민국"
베스트웨스턴 제주호텔,08.27.Sun,73562,1,7.6,4,"제주, 대한민국"
랜딩관 제주신화월드 호텔앤리조트,08.27.Sun,210682,1,8.3,5,"서귀포, 대한민국"
메종 글래드 제주,08.27.Sun,128698,1,8.1,5,"제주, 대한민국"
에코랜드 호텔,08.27.Sun,317418,1,8.6,5,"제주, 대한민국"
제주 신라 호텔,08.27.Sun,457716,1,9.0,5,"서귀포, 대한민국"
라마다 프라자 제주 호텔,08.27.Sun,204326,1,8.2,5,"제주, 대한민국"
그랜드 하얏트 제주,08.27.Sun,437998,1,8.8,5,"제주, 대한민국"
신라스테이 제주,08.27.Sun,118800,1,8.0,4,"제주, 대한민국"
호텔 휘슬락 바이 베스트웨스턴 시그니처 컬렉션,08.27.Sun,98946,1,7.7,4,"제주, 대한민국"
제주 부영 호텔&리조트,08.27.Sun,180992,1,9.1,5,"서귀포, 대한민국"
휘닉스 제주 섭지코지,08.27.Sun,311690,1,7.8,4,"서귀포, 대한민국"
탐라스테이 호텔 제주,08.27.Sun,92752,1,7.7,4,"제주, 대한민국"
더 베스트 제주 성산,08.27.Sun,48348,1,7.9,4,"서귀포, 대한민국"
호텔 리젠트 마린 더 블루,08.27.Sun,113223,1,8.2,4,"제주, 대한민국"
그랜드 조선 제주,08.27.Sun,459000,1,8.9,5,"서귀포, 대한민국"
롯데시티호텔 제주,08.27.Sun,154546,1,8.5,4,"제주, 대한민국"
더 그랜드 섬오름,08.27.Sun,170000,1,8.3,3,"서귀포, 대한민국"
더큐브 리조트 제주,08.27.Sun,86221,1,8.2,4,"서귀포, 대한민국"
서머셋 제주신화월드,08.27.Sun,669583,1,8.6,5,"서귀포, 대한민국"
히든 클리프 호텔&네이쳐,08.27.Sun,279360,1,8.3,5,"서귀포, 대한민국"
해비치 호텔 & 리조트,08.27.Sun,450000,1,8.6,5,"서귀포, 대한민국"
엠버퓨어힐호텔&리조트,08.27.Sun,413224,1,9.2,5,"제주, 대한민국"
신화관 제주신화월드 호텔앤리조트,08.27.Sun,343106,1,8.3,5,"서귀포, 대한민국"
유탑 유블레스호텔,08.27.Sun,131957,1,8.0,4,"제주, 대한민국"
캠퍼트리 호텔 앤 리조트,08.27.Sun,153636,1,8.4,4,"제주, 대한민국"
한림리조트,08.27.Sun,199122,1,8.8,4,"제주, 대한민국"
그라벨 호텔,08.27.Sun,111271,1,8.1,3,"제주, 대한민국"
호텔 케니 서귀포,08.27.Sun,28901,1,8.1,4,"서귀포, 대한민국"
브라운 스위트 제주,08.27.Sun,52945,1,7.3,5,"서귀포, 대한민국"
메리어트관 제주신화월드 호텔앤리조트,08.27.Sun,280219,1,8.4,4,"서귀포, 대한민국"
호텔 난타,08.27.Sun,64013,1,8.6,4,"제주, 대한민국"
서귀포 JS호텔,08.27.Sun,61010,1,8.4,3,"서귀포, 대한민국"
스타즈 호텔 제주 로베로점,08.27.Sun,36637,1,8.0,4,"제주, 대한민국"
세인트 비치 호텔,08.27.Sun,100800,1,7.4,4,"제주, 대한민국"
골든튤립 제주성산호텔,08.27.Sun,60465,1,7.7,5,"서귀포, 대한민국"
제주 디 아일랜드 블루 호텔,08.27.Sun,59299,1,8.1,등급 정보 없음,"서귀포, 대한민국"
WE호텔 제주,08.27.Sun,190414,1,8.5,등급 정보 없음,"서귀포, 대한민국"
훈데르트힐즈,08.27.Sun,241795,1,평점없음,3,"제주, 대한민국"
라온 호텔 앤 리조트,08.27.Sun,60087,1,6.8,4,"제주, 대한민국"
엠스테이 호텔 제주,08.27.Sun,119835,1,7.8,4,"서귀포, 대한민국"
호텔 시리우스,08.27.Sun,82857,1,8.3,4,"제주, 대한민국"
호텔 샬롬 제주,08.27.Sun,48690,1,7.9,5,"제주, 대한민국"
호텔 토스카나,08.27.Sun,277686,1,9.0,4,"서귀포, 대한민국"
오션스위츠 제주 호텔,08.27.Sun,86777,1,8.1,5,"제주, 대한민국"
아시아호텔,08.27.Sun,58016,1,8.4,3,"제주, 대한민국"
스탠포드 호텔 & 리조트 제주,08.27.Sun,142464,1,8.0,3,"제주, 대한민국"
스위트 호텔 제주,08.27.Sun,189307,1,8.3,4,"서귀포, 대한민국"
레슬리 호텔,08.27.Sun,46800,1,7.8,4,"제주, 대한민국"
켄싱턴리조트 서귀포,08.27.Sun,205785,1,8.1,4,"서귀포, 대한민국"
제주 항공우주 호텔,08.27.Sun,70348,1,8.4,4,"서귀포, 대한민국"
유니호텔 제주,08.27.Sun,112975,1,7.7,4,"제주, 대한민국"
금호 제주 리조트,08.27.Sun,158840,1,7.4,4,"서귀포, 대한민국"
신신호텔 제주공항,08.27.Sun,39543,1,7.6,3,"제주, 대한민국"
제주 센트럴시티호텔,08.27.Sun,60509,1,7.7,4,"제주, 대한민국"
플레이스 캠프 제주,08.27.Sun,39079,1,8.3,등급 정보 없음,"서귀포, 대한민국"
담모라 리조트,08.27.Sun,38799,1,7.3,등급 정보 없음,"서귀포, 대한민국"
신신호텔 제주월드컵,08.27.Sun,28591,1,7.7,등급 정보 없음,"서귀포, 대한민국"
롯데 호텔 제주,08.27.Sun,500000,2,8.8,5,"서귀포, 대한민국"
라마다 제주 시티 호텔,08.27.Sun,79090,2,8.1,4,"제주, 대한민국"
파르나스 호텔 제주,08.27.Sun,620000,2,9.2,5,"서귀포, 대한민국"
베스트웨스턴 제주호텔,08.27.Sun,72331,2,7.6,4,"제주, 대한민국"
랜딩관 제주신화월드 호텔앤리조트,08.27.Sun,210682,2,8.3,5,"서귀포, 대한민국"
메종 글래드 제주,08.27.Sun,128698,2,8.1,5,"제주, 대한민국"
에코랜드 호텔,08.27.Sun,317418,2,8.6,5,"제주, 대한민국"
제주 신라 호텔,08.27.Sun,457716,2,9.0,5,"서귀포, 대한민국"
라마다 프라자 제주 호텔,08.27.Sun,204326,2,8.2,5,"제주, 대한민국"
그랜드 하얏트 제주,08.27.Sun,437998,2,8.8,5,"제주, 대한민국"
신라스테이 제주,08.27.Sun,118800,2,8.0,4,"제주, 대한민국"
호텔 휘슬락 바이 베스트웨스턴 시그니처 컬렉션,08.27.Sun,98946,2,7.7,4,"제주, 대한민국"
제주 부영 호텔&리조트,08.27.Sun,180992,2,9.1,5,"서귀포, 대한민국"
휘닉스 제주 섭지코지,08.27.Sun,311690,2,7.8,4,"서귀포, 대한민국"
탐라스테이 호텔 제주,08.27.Sun,92752,2,7.7,4,"제주, 대한민국"
더 베스트 제주 성산,08.27.Sun,48348,2,7.9,4,"서귀포, 대한민국"
호텔 리젠트 마린 더 블루,08.27.Sun,113223,2,8.2,4,"제주, 대한민국"
그랜드 조선 제주,08.27.Sun,459000,2,8.9,5,"서귀포, 대한민국"
롯데시티호텔 제주,08.27.Sun,154546,2,8.5,4,"제주, 대한민국"
더 그랜드 섬오름,08.27.Sun,170000,2,8.3,3,"서귀포, 대한민국"
더큐브 리조트 제주,08.27.Sun,86221,2,8.2,4,"서귀포, 대한민국"
서머셋 제주신화월드,08.27.Sun,669583,2,8.6,5,"서귀포, 대한민국"
히든 클리프 호텔&네이쳐,08.27.Sun,279360,2,8.3,5,"서귀포, 대한민국"
해비치 호텔 & 리조트,08.27.Sun,450000,2,8.6,5,"서귀포, 대한민국"
엠버퓨어힐호텔&리조트,08.27.Sun,413224,2,9.2,5,"제주, 대한민국"
신화관 제주신화월드 호텔앤리조트,08.27.Sun,343106,2,8.3,5,"서귀포, 대한민국"
유탑 유블레스호텔,08.27.Sun,131957,2,8.0,4,"제주, 대한민국"
캠퍼트리 호텔 앤 리조트,08.27.Sun,153636,2,8.4,4,"제주, 대한민국"
한림리조트,08.27.Sun,199122,2,8.8,4,"제주, 대한민국"
그라벨 호텔,08.27.Sun,111271,2,8.1,3,"제주, 대한민국"
호텔 케니 서귀포,08.27.Sun,33464,2,8.1,4,"서귀포, 대한민국"
브라운 스위트 제주,08.27.Sun,52945,2,7.3,5,"서귀포, 대한민국"
메리어트관 제주신화월드 호텔앤리조트,08.27.Sun,280219,2,8.4,4,"서귀포, 대한민국"
호텔 난타,08.27.Sun,64013,2,8.6,4,"제주, 대한민국"
서귀포 JS호텔,08.27.Sun,61010,2,8.4,3,"서귀포, 대한민국"
스타즈 호텔 제주 로베로점,08.27.Sun,36637,2,8.0,4,"제주, 대한민국"
세인트 비치 호텔,08.27.Sun,100800,2,7.4,4,"제주, 대한민국"
골든튤립 제주성산호텔,08.27.Sun,60465,2,7.7,5,"서귀포, 대한민국"
제주 디 아일랜드 블루 호텔,08.27.Sun,59299,2,8.1,등급 정보 없음,"서귀포, 대한민국"
WE호텔 제주,08.27.Sun,190414,2,8.5,등급 정보 없음,"서귀포, 대한민국"
훈데르트힐즈,08.27.Sun,241795,2,평점없음,3,"제주, 대한민국"
라온 호텔 앤 리조트,08.27.Sun,60087,2,6.8,4,"제주, 대한민국"
엠스테이 호텔 제주,08.27.Sun,119835,2,7.8,4,"서귀포, 대한민국"
호텔 시리우스,08.27.Sun,82857,2,8.3,4,"제주, 대한민국"
호텔 샬롬 제주,08.27.Sun,47800,2,7.9,5,"제주, 대한민국"
호텔 토스카나,08.27.Sun,277686,2,9.0,4,"서귀포, 대한민국"
오션스위츠 제주 호텔,08.27.Sun,86777,2,8.1,5,"제주, 대한민국"
아시아호텔,08.27.Sun,58016,2,8.4,3,"제주, 대한민국"
스탠포드 호텔 & 리조트 제주,08.27.Sun,157025,2,8.0,3,"제주, 대한민국"
스위트 호텔 제주,08.27.Sun,189307,2,8.3,4,"서귀포, 대한민국"
레슬리 호텔,08.27.Sun,46800,2,7.8,4,"제주, 대한민국"
켄싱턴리조트 서귀포,08.27.Sun,205785,2,8.1,4,"서귀포, 대한민국"
제주 항공우주 호텔,08.27.Sun,70348,2,8.4,4,"서귀포, 대한민국"
유니호텔 제주,08.27.Sun,112975,2,7.7,4,"제주, 대한민국"
금호 제주 리조트,08.27.Sun,158840,2,7.4,4,"서귀포, 대한민국"
신신호텔 제주공항,08.27.Sun,39543,2,7.6,3,"제주, 대한민국"
제주 센트럴시티호텔,08.27.Sun,60509,2,7.7,4,"제주, 대한민국"
플레이스 캠프 제주,08.27.Sun,39079,2,8.3,등급 정보 없음,"서귀포, 대한민국"
담모라 리조트,08.27.Sun,38799,2,7.3,등급 정보 없음,"서귀포, 대한민국"
신신호텔 제주월드컵,08.27.Sun,28591,2,7.7,등급 정보 없음,"서귀포, 대한민국"
롯데 호텔 제주,08.27.Sun,503472,3,8.8,5,"서귀포, 대한민국"
라마다 제주 시티 호텔,08.27.Sun,94910,3,8.1,4,"제주, 대한민국"
파르나스 호텔 제주,08.27.Sun,850000,3,9.2,5,"서귀포, 대한민국"
베스트웨스턴 제주호텔,08.27.Sun,83835,3,7.6,4,"제주, 대한민국"
랜딩관 제주신화월드 호텔앤리조트,08.27.Sun,294030,3,8.3,5,"서귀포, 대한민국"
메종 글래드 제주,08.27.Sun,166129,3,8.1,5,"제주, 대한민국"
에코랜드 호텔,08.27.Sun,378347,3,8.6,5,"제주, 대한민국"
제주 신라 호텔,08.27.Sun,551416,3,9.0,5,"서귀포, 대한민국"
라마다 프라자 제주 호텔,08.27.Sun,210744,3,8.2,5,"제주, 대한민국"
그랜드 하얏트 제주,08.27.Sun,438000,3,8.8,5,"제주, 대한민국"
신라스테이 제주,08.27.Sun,160380,3,8.0,4,"제주, 대한민국"
호텔 휘슬락 바이 베스트웨스턴 시그니처 컬렉션,08.27.Sun,114463,3,7.7,4,"제주, 대한민국"
제주 부영 호텔&리조트,08.27.Sun,211308,3,9.1,5,"서귀포, 대한민국"
휘닉스 제주 섭지코지,08.27.Sun,311690,3,7.8,4,"서귀포, 대한민국"
탐라스테이 호텔 제주,08.27.Sun,151983,3,7.7,4,"제주, 대한민국"
더 베스트 제주 성산,08.27.Sun,62295,3,7.9,4,"서귀포, 대한민국"
그랜드 조선 제주,08.27.Sun,463637,3,8.9,5,"서귀포, 대한민국"
롯데시티호텔 제주,08.27.Sun,170000,3,8.5,4,"제주, 대한민국"
더 그랜드 섬오름,08.27.Sun,180000,3,8.3,3,"서귀포, 대한민국"
더큐브 리조트 제주,08.27.Sun,89501,3,8.2,4,"서귀포, 대한민국"
서머셋 제주신화월드,08.27.Sun,669583,3,8.6,5,"서귀포, 대한민국"
히든 클리프 호텔&네이쳐,08.27.Sun,297360,3,8.3,5,"서귀포, 대한민국"
엠버퓨어힐호텔&리조트,08.27.Sun,413224,3,9.2,5,"제주, 대한민국"
유탑 유블레스호텔,08.27.Sun,163637,3,8.0,4,"제주, 대한민국"
캠퍼트리 호텔 앤 리조트,08.27.Sun,379464,3,8.4,4,"제주, 대한민국"
한림리조트,08.27.Sun,215440,3,8.8,4,"제주, 대한민국"
그라벨 호텔,08.27.Sun,119835,3,8.1,3,"제주, 대한민국"
호텔 케니 서귀포,08.27.Sun,41069,3,8.1,4,"서귀포, 대한민국"
브라운 스위트 제주,08.27.Sun,66394,3,7.3,5,"서귀포, 대한민국"
메리어트관 제주신화월드 호텔앤리조트,08.27.Sun,372721,3,8.4,4,"서귀포, 대한민국"
호텔 난타,08.27.Sun,75065,3,8.6,4,"제주, 대한민국"
서귀포 JS호텔,08.27.Sun,66706,3,8.4,3,"서귀포, 대한민국"
스타즈 호텔 제주 로베로점,08.27.Sun,66600,3,8.0,4,"제주, 대한민국"
골든튤립 제주성산호텔,08.27.Sun,84870,3,7.7,4,"서귀포, 대한민국"
제주 디 아일랜드 블루 호텔,08.27.Sun,67771,3,8.1,5,"서귀포, 대한민국"
WE호텔 제주,08.27.Sun,207725,3,8.5,3,"서귀포, 대한민국"
