date,week,car_name,price,engine,seater,
2023.8.11,금,모닝 어반 ,"70,400원",가솔린 ,5,
2023.8.11,금,ALL NEW K3 ,"72,000원",가솔린 ,5,
2023.8.11,금,베뉴 ,"72,000원",가솔린 ,5,
2023.8.11,금,아반떼 AD ,"72,000원",가솔린 ,5,
2023.8.11,금,LF 쏘나타 뉴라이즈 ,"75,000원",가솔린 ,5,
2023.8.11,금,더 뉴 K3 ,"78,000원",가솔린 ,5,
2023.8.11,금,쏘울 부스터 ,"78,000원",가솔린 ,5,
2023.8.11,금,올 뉴 아반떼 ,"78,000원",가솔린 ,5,
2023.8.11,금,INTERACTIVE K5 ,"80,000원",LPG ,5,
2023.8.11,금,쏘나타 DN8 ,"80,000원",LPG ,5,
2023.8.11,금,코나 ,"80,000원",전기 ,5,
2023.8.11,금,더 뉴 코나 4WD ,"84,000원",가솔린 ,5,
2023.8.11,금,코나 ,"84,000원",가솔린 ,5,
2023.8.11,금,INTERACTIVE K5 ,"85,000원",가솔린 ,5,
2023.8.11,금,니로 ,"85,000원",전기 ,5,
2023.8.11,금,쏘나타 DN8 ,"85,000원",가솔린 ,5,
2023.8.11,금,캐스퍼 ,"88,000원",가솔린 ,4,
2023.8.11,금,그랜저 IG 3.0 ,"89,600원",가솔린 ,5,
2023.8.11,금,XM3 1.4 ,"90,000원",가솔린 ,5,
2023.8.11,금,디 올 뉴 코나 4WD ,"90,000원",가솔린 ,5,
2023.8.11,금,베리 뉴 티볼리 에어 ,"90,000원",가솔린 ,5,
2023.8.11,금,셀토스 2WD ,"90,000원",가솔린 ,5,
2023.8.11,금,셀토스 4WD ,"90,000원",디젤 ,5,
2023.8.11,금,셀토스 4WD ,"90,000원",가솔린 ,5,
2023.8.11,금,트레일 블레이저 2WD ,"90,000원",가솔린 ,5,
2023.8.11,금,K7 PREMIER ,"93,600원",가솔린 ,5,
2023.8.11,금,더 뉴 그랜저 2.5 ,"93,600원",가솔린 ,5,
2023.8.11,금,K8 2.5 ,"100,000원",가솔린 ,5,
2023.8.11,금,EV6 4WD ,"110,000원",전기 ,5,
2023.8.11,금,아이오닉 5 4WD ,"110,000원",전기 ,5,
2023.8.11,금,THE NEW G70 2.0 ,"112,000원",가솔린 ,5,
2023.8.11,금,G70 SHOOTING BRAKE ,"115,000원",가솔린 ,5,
2023.8.11,금,All New G80 2.5 ,"120,000원",가솔린 ,5,
2023.8.11,금,싼타페 TM 2WD  ,"120,000원",디젤 ,7,
2023.8.11,금,제네시스 G80 3.3 ,"120,000원",가솔린 ,5,
2023.8.11,금,토레스 4WD ,"120,000원",가솔린 ,5,
2023.8.11,금,더 마스터 쏘렌토 4WD  ,"126,000원",디젤 ,7,
2023.8.11,금,싼타페 TM 4WD  ,"126,000원",디젤 ,7,
2023.8.11,금,더 뉴 싼타페 4WD ,"132,000원",디젤 ,7,
2023.8.11,금,쏘렌토 MQ4 4WD ,"132,000원",디젤 ,7,
2023.8.11,금,GV60 4WD ,"140,000원",전기 ,5,
2023.8.11,금,TESLA MODEL 3 ,"148,500원",전기 ,5,
2023.8.11,금,GV70 ,"150,000원",전기 ,5,
2023.8.11,금,더 뉴 그랜드 스타렉스 ,"150,000원",디젤 ,12,
2023.8.11,금,올 뉴 카니발 ,"150,000원",디젤 ,9,
2023.8.11,금,THE K9 3.8 ,"152,000원",가솔린 ,5,
2023.8.11,금,더 뉴 카니발 ,"165,000원",디젤 ,11,
2023.8.11,금,더 뉴 카니발 ,"165,000원",디젤 ,9,
2023.8.11,금,팰리세이드 4WD ,"165,000원",디젤 ,8,
2023.8.11,금,GV70 4WD ,"168,000원",디젤 ,5,
2023.8.11,금,스타리아 ,"172,500원",디젤 ,11,
2023.8.11,금,카니발 KA4 ,"172,500원",디젤 ,9,
2023.8.11,금,더 뉴 카니발 리무진 ,"187,500원",디젤 ,7,
2023.8.11,금,All New G80 ,"193,500원",전기 ,5,
2023.8.11,금,G90 3.8 ,"196,000원",가솔린 ,5,
2023.8.11,금,GV80 4WD ,"200,000원",디젤 ,7,
2023.8.11,금,카니발 KA4 하이리무진 ,"216,000원",가솔린 ,7,
2023.8.11,금,쏠라티 ,"440,000원",디젤 ,15,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
