date,week,car_name,price,engine,seater,
2023.8.12,토,베뉴 ,"78,000원",가솔린 ,5,
2023.8.12,토,모닝 어반 ,"83,600원",가솔린 ,5,
2023.8.12,토,ALL NEW K3 ,"84,000원",가솔린 ,5,
2023.8.12,토,아반떼 AD ,"84,000원",가솔린 ,5,
2023.8.12,토,LF 쏘나타 뉴라이즈 ,"90,000원",가솔린 ,5,
2023.8.12,토,더 뉴 K3 ,"91,000원",가솔린 ,5,
2023.8.12,토,쏘울 부스터 ,"91,000원",가솔린 ,5,
2023.8.12,토,올 뉴 아반떼 ,"91,000원",가솔린 ,5,
2023.8.12,토,니로 ,"93,500원",전기 ,5,
2023.8.12,토,INTERACTIVE K5 ,"96,000원",LPG ,5,
2023.8.12,토,쏘나타 DN8 ,"96,000원",LPG ,5,
2023.8.12,토,XM3 1.4 ,"97,500원",가솔린 ,5,
2023.8.12,토,베리 뉴 티볼리 ,"97,500원",가솔린 ,5,
2023.8.12,토,베리 뉴 티볼리 에어 ,"97,500원",가솔린 ,5,
2023.8.12,토,셀토스 2WD ,"97,500원",가솔린 ,5,
2023.8.12,토,그랜저 IG 3.0 ,"100,800원",가솔린 ,5,
2023.8.12,토,INTERACTIVE K5 ,"102,000원",가솔린 ,5,
2023.8.12,토,쏘나타 DN8 ,"102,000원",가솔린 ,5,
2023.8.12,토,캐스퍼 ,"104,500원",가솔린 ,4,
2023.8.12,토,K7 PREMIER ,"105,300원",가솔린 ,5,
2023.8.12,토,더 뉴 그랜저 2.5 ,"105,300원",가솔린 ,5,
2023.8.12,토,K8 2.5 ,"112,500원",가솔린 ,5,
2023.8.12,토,EV6 4WD ,"121,000원",전기 ,5,
2023.8.12,토,아이오닉 5 4WD ,"121,000원",전기 ,5,
2023.8.12,토,싼타페 TM 2WD ,"130,000원",디젤 ,7,
2023.8.12,토,토레스 4WD ,"130,000원",가솔린 ,5,
2023.8.12,토,THE NEW G70 2.0 ,"134,400원",가솔린 ,5,
2023.8.12,토,All New G80 2.5 ,"135,000원",가솔린 ,5,
2023.8.12,토,제네시스 G80 3.3 ,"135,000원",가솔린 ,5,
2023.8.12,토,더 마스터 쏘렌토 4WD ,"136,500원",디젤 ,7,
2023.8.12,토,싼타페 TM 4WD ,"136,500원",디젤 ,7,
2023.8.12,토,G70 SHOOTING BRAKE ,"138,000원",가솔린 ,5,
2023.8.12,토,더 뉴 싼타페 4WD ,"143,000원",디젤 ,7,
2023.8.12,토,쏘렌토 MQ4 4WD ,"143,000원",디젤 ,7,
2023.8.12,토,TESLA MODEL 3 ,"148,500원",전기 ,5,
2023.8.12,토,더 뉴 그랜드 스타렉스 ,"150,000원",디젤 ,12,
2023.8.12,토,올 뉴 카니발 ,"150,000원",디젤 ,9,
2023.8.12,토,GV60 4WD ,"154,000원",전기 ,5,
2023.8.12,토,GV70 ,"165,000원",전기 ,5,
2023.8.12,토,더 뉴 카니발 ,"165,000원",디젤 ,9,
2023.8.12,토,THE K9 3.8 ,"171,000원",가솔린 ,5,
2023.8.12,토,카니발 KA4,"172,500원",디젤 ,9,
2023.8.12,토,GV70 4WD ,"182,000원",디젤 ,5,
2023.8.12,토,더 뉴 카니발 리무진 ,"187,500원",디젤 ,7,
2023.8.12,토,All New G80 ,"193,500원",전기 ,5,
2023.8.12,토,팰리세이드 4WD ,"198,000원",디젤 ,8,
2023.8.12,토,G90 3.8 ,"220,500원",가솔린 ,5,
2023.8.12,토,카니발 KA4 하이리무진 ,"234,000원",가솔린 ,7,
2023.8.12,토,GV80 4WD  ,"240,000원",디젤 ,7,
2023.8.12,토,쏠라티 ,"467,500원",디젤 ,15,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
