date,week,car_name,price,engine,seater,
2023.8.9,수,ALL NEW K3 ,"42,000원",가솔린 ,5,
2023.8.9,수,베뉴 ,"42,000원",가솔린 ,5,
2023.8.9,수,아반떼 AD ,"42,000원",가솔린 ,5,
2023.8.9,수,모닝 어반 ,"44,000원",가솔린 ,5,
2023.8.9,수,스파크 ,"44,000원",가솔린 ,5,
2023.8.9,수,LF 쏘나타 뉴라이즈 ,"45,000원",가솔린 ,5,
2023.8.9,수,더 뉴 K3 ,"45,500원",가솔린 ,5,
2023.8.9,수,쏘울 부스터 ,"45,500원",가솔린 ,5,
2023.8.9,수,올 뉴 아반떼 ,"45,500원",가솔린 ,5,
2023.8.9,수,INTERACTIVE K5 ,"48,000원",LPG ,5,
2023.8.9,수,쏘나타 DN8 ,"48,000원",LPG ,5,
2023.8.9,수,더 뉴 코나 4WD ,"49,000원",가솔린 ,5,
2023.8.9,수,코나 ,"49,000원",가솔린 ,5,
2023.8.9,수,INTERACTIVE K5 ,"51,000원",가솔린 ,5,
2023.8.9,수,니로 ,"51,000원",전기 ,5,
2023.8.9,수,쏘나타 DN8 ,"51,000원",가솔린 ,5,
2023.8.9,수,XM3 1.4 ,"52,500원",가솔린 ,5,
2023.8.9,수,디 올 뉴 코나 4WD ,"52,500원",가솔린 ,5,
2023.8.9,수,베리 뉴 티볼리 에어 ,"52,500원",가솔린 ,5,
2023.8.9,수,셀토스 2WD ,"52,500원",가솔린 ,5,
2023.8.9,수,셀토스 4WD ,"52,500원",디젤 ,5,
2023.8.9,수,셀토스 4WD ,"52,500원",가솔린 ,5,
2023.8.9,수,캐스퍼 ,"55,000원",가솔린 ,4,
2023.8.9,수,K7 PREMIER ,"58,500원",가솔린 ,5,
2023.8.9,수,EV6 4WD ,"66,000원",전기 ,5,
2023.8.9,수,아이오닉 5 4WD ,"66,000원",전기 ,5,
2023.8.9,수,THE NEW G70 2.0 ,"67,200원",가솔린 ,5,
2023.8.9,수,그랜저 IG 3.0 ,"67,200원",가솔린 ,5,
2023.8.9,수,G70 SHOOTING BRAKE ,"69,000원",가솔린 ,5,
2023.8.9,수,싼타페 TM 2WD  ,"70,000원",디젤 ,7,
2023.8.9,수,토레스 4WD ,"70,000원",가솔린 ,5,
2023.8.9,수,더 뉴 그랜저 2.5 ,"70,200원",가솔린 ,5,
2023.8.9,수,더 마스터 쏘렌토 4WD  ,"73,500원",디젤 ,7,
2023.8.9,수,싼타페 TM 4WD ,"73,500원",디젤 ,7,
2023.8.9,수,K8 2.5 ,"75,000원",가솔린 ,5,
2023.8.9,수,더 뉴 싼타페 4WD ,"77,000원",디젤 ,7,
2023.8.9,수,쏘렌토 MQ4 4WD ,"77,000원",디젤 ,7,
2023.8.9,수,더 뉴 그랜드 스타렉스 ,"80,000원",디젤 ,12,
2023.8.9,수,올 뉴 카니발  ,"80,000원",디젤 ,9,
2023.8.9,수,TESLA MODEL 3 ,"82,500원",전기 ,5,
2023.8.9,수,GV60 4WD ,"84,000원",전기 ,5,
2023.8.9,수,더 뉴 카니발 ,"88,000원",디젤 ,11,
2023.8.9,수,더 뉴 카니발 ,"88,000원",디젤 ,9,
2023.8.9,수,All New G80 2.5 ,"90,000원",가솔린 ,5,
2023.8.9,수,GV70 ,"90,000원",전기 ,5,
2023.8.9,수,제네시스 G80 3.3 ,"90,000원",가솔린 ,5,
2023.8.9,수,스타리아 11인승 ,"92,000원",디젤 ,11,
2023.8.9,수,카니발 KA4 ,"92,000원",디젤 ,9,
2023.8.9,수,THE K9 3.8 ,"95,000원",가솔린 ,5,
2023.8.9,수,GV70 4WD ,"98,000원",디젤 ,5,
2023.8.9,수,팰리세이드 4WD ,"99,000원",디젤 ,8,
2023.8.9,수,더 뉴 카니발 리무진 ,"100,000원",디젤 ,7,
2023.8.9,수,All New G80 ,"107,500원",전기 ,5,
2023.8.9,수,카니발 KA4 하이리무진 ,"108,000원",가솔린 ,7,
2023.8.9,수,GV80 4WD  ,"120,000원",디젤 ,7,
2023.8.9,수,G90 3.8 ,"122,500원",가솔린 ,5,
2023.8.9,수,쏠라티 ,"275,000원",디젤 ,15,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
