date,week,car_name,price,engine,seater
2023.8.14,월,ALL NEW K3 ,"48,000원",가솔린 ,5
2023.8.14,월,더 뉴 K3 ,"52,000원",가솔린 ,5
2023.8.14,월,쏘울 부스터 ,"52,000원",가솔린 ,5
2023.8.14,월,올 뉴 아반떼 ,"52,000원",가솔린 ,5
2023.8.14,월,INTERACTIVE K5 ,"56,000원",LPG ,5
2023.8.14,월,쏘나타 DN8 ,"56,000원",LPG ,5
2023.8.14,월,모닝 어반 ,"57,200원",가솔린 ,5
2023.8.14,월,INTERACTIVE K5 ,"59,500원",가솔린 ,5
2023.8.14,월,니로 ,"59,500원",전기 ,5
2023.8.14,월,쏘나타 DN8 ,"59,500원",가솔린 ,5
2023.8.14,월,XM3 1.4 ,"60,000원",가솔린 ,5
2023.8.14,월,디 올 뉴 코나 4WD ,"60,000원",가솔린 ,5
2023.8.14,월,베리 뉴 티볼리 ,"60,000원",가솔린 ,5
2023.8.14,월,베리 뉴 티볼리 에어 ,"60,000원",가솔린 ,5
2023.8.14,월,셀토스 2WD ,"60,000원",가솔린 ,5
2023.8.14,월,셀토스 4WD ,"60,000원",디젤 ,5
2023.8.14,월,셀토스 4WD ,"60,000원",가솔린 ,5
2023.8.14,월,K7 PREMIER ,"70,200원",가솔린 ,5
2023.8.14,월,더 뉴 그랜저 2.5 ,"70,200원",가솔린 ,5
2023.8.14,월,캐스퍼 ,"71,500원",가솔린 ,4
2023.8.14,월,K8 2.5 ,"75,000원",가솔린 ,5
2023.8.14,월,EV6 4WD ,"77,000원",전기 ,5
2023.8.14,월,아이오닉 5 4WD ,"77,000원",전기 ,5
2023.8.14,월,THE NEW G70 2.0 ,"78,400원",가솔린 ,5
2023.8.14,월,토레스 4WD ,"80,000원",가솔린 ,5
2023.8.14,월,G70 SHOOTING BRAKE ,"80,500원",가솔린 ,5
2023.8.14,월,싼타페 TM 4WD  ,"84,000원",디젤 ,7
2023.8.14,월,더 뉴 싼타페 4WD  ,"88,000원",디젤 ,7
2023.8.14,월,더 뉴 카니발 ,"88,000원",디젤 ,9
2023.8.14,월,쏘렌토 MQ4 4WD ,"88,000원",디젤 ,7
2023.8.14,월,All New G80 2.5 ,"90,000원",가솔린 ,5
2023.8.14,월,제네시스 G80 3.3 ,"90,000원",가솔린 ,5
2023.8.14,월,카니발 KA4 ,"92,000원",디젤 ,9
2023.8.14,월,GV60 4WD ,"98,000원",전기 ,5
2023.8.14,월,TESLA MODEL 3 ,"99,000원",전기 ,5
2023.8.14,월,더 뉴 카니발 리무진 ,"100,000원",디젤 ,7
2023.8.14,월,GV70 ,"105,000원",전기 ,5
2023.8.14,월,카니발 KA4 하이리무진 ,"108,000원",가솔린 ,7
2023.8.14,월,GV70 4WD ,"112,000원",디젤 ,5
2023.8.14,월,THE K9 3.8 ,"114,000원",가솔린 ,5
2023.8.14,월,팰리세이드 4WD ,"115,500원",디젤 ,8
2023.8.14,월,All New G80 ,"129,000원",전기 ,5
2023.8.14,월,GV80 4WD  ,"140,000원",디젤 ,7
2023.8.14,월,G90 3.8 ,"147,000원",가솔린 ,5
2023.8.14,월,쏠라티 ,"275,000원",디젤 ,15
