date,week,car_name,price,engine,seater,
2023.8.24,목,모닝 어반 ,"52,800원",가솔린 ,5,
2023.8.24,목,스파크 ,"52,800원",가솔린 ,5,
2023.8.24,목,ALL NEW K3 ,"54,000원",가솔린 ,5,
2023.8.24,목,아반떼 AD ,"54,000원",가솔린 ,5,
2023.8.24,목,INTERACTIVE K5 ,"56,000원",LPG ,5,
2023.8.24,목,더 뉴 코나 4WD ,"56,000원",가솔린 ,5,
2023.8.24,목,쏘나타 DN8 ,"56,000원",LPG ,5,
2023.8.24,목,코나 ,"56,000원",가솔린 ,5,
2023.8.24,목,더 뉴 K3 ,"58,500원",가솔린 ,5,
2023.8.24,목,쏘울 부스터 ,"58,500원",가솔린 ,5,
2023.8.24,목,올 뉴 아반떼 ,"58,500원",가솔린 ,5,
2023.8.24,목,INTERACTIVE K5 ,"59,500원",가솔린 ,5,
2023.8.24,목,쏘나타 DN8 ,"59,500원",가솔린 ,5,
2023.8.24,목,XM3 1.4 ,"60,000원",가솔린 ,5,
2023.8.24,목,디 올 뉴 코나 4WD ,"60,000원",가솔린 ,5,
2023.8.24,목,베리 뉴 티볼리 ,"60,000원",가솔린 ,5,
2023.8.24,목,베리 뉴 티볼리 에어 ,"60,000원",가솔린 ,5,
2023.8.24,목,셀토스 2WD ,"60,000원",가솔린 ,5,
2023.8.24,목,셀토스 4WD ,"60,000원",디젤 ,5,
2023.8.24,목,셀토스 4WD ,"60,000원",가솔린 ,5,
2023.8.24,목,트레일 블레이저 2WD ,"60,000원",가솔린 ,5,
2023.8.24,목,코나 ,"64,000원",전기 ,5,
2023.8.24,목,캐스퍼 ,"66,000원",가솔린 ,4,
2023.8.24,목,니로 ,"68,000원",전기 ,5,
2023.8.24,목,THE NEW G70 2.0 ,"78,400원",가솔린 ,5,
2023.8.24,목,토레스 4WD ,"80,000원",가솔린 ,5,
2023.8.24,목,G70 SHOOTING BRAKE ,"80,500원",가솔린 ,5,
2023.8.24,목,K7 PREMIER ,"81,900원",가솔린 ,5,
2023.8.24,목,더 뉴 그랜저 2.5 ,"81,900원",가솔린 ,5,
2023.8.24,목,더 마스터 쏘렌토 4WD ,"84,000원",디젤 ,7,
2023.8.24,목,싼타페 TM 4WD ,"84,000원",디젤 ,7,
2023.8.24,목,K8 2.5 ,"87,500원",가솔린 ,5,
2023.8.24,목,EV6 4WD ,"88,000원",전기 ,5,
2023.8.24,목,더 뉴 싼타페 4WD ,"88,000원",디젤 ,7,
2023.8.24,목,쏘렌토 MQ4 4WD ,"88,000원",디젤 ,7,
2023.8.24,목,아이오닉 5 4WD ,"88,000원",전기 ,5,
2023.8.24,목,All New G80 2.5 ,"105,000원",가솔린 ,5,
2023.8.24,목,제네시스 G80 3.3 ,"105,000원",가솔린 ,5,
2023.8.24,목,GV60 4WD ,"112,000원",전기 ,5,
2023.8.24,목,GV70 4WD ,"112,000원",디젤 ,5,
2023.8.24,목,GV70 ,"120,000원",전기 ,5,
2023.8.24,목,더 뉴 카니발 ,"121,000원",디젤 ,11,
2023.8.24,목,더 뉴 카니발 ,"121,000원",디젤 ,9,
2023.8.24,목,스타리아 ,"126,500원",디젤 ,11,
2023.8.24,목,카니발 KA4 ,"126,500원",디젤 ,9,
2023.8.24,목,TESLA MODEL 3 ,"132,000원",전기 ,5,
2023.8.24,목,팰리세이드 4WD ,"132,000원",디젤 ,8,
2023.8.24,목,THE K9 3.8 ,"133,000원",가솔린 ,5,
2023.8.24,목,더 뉴 카니발 리무진 ,"137,500원",디젤 ,7,
2023.8.24,목,GV80 4WD ,"160,000원",디젤 ,7,
2023.8.24,목,카니발 KA4 하이리무진 ,"162,000원",가솔린 ,7,
2023.8.24,목,G90 3.8 ,"171,500원",가솔린 ,5,
2023.8.24,목,All New G80 ,"172,000원",전기 ,5,
2023.8.24,목,쏠라티 ,"357,500원",디젤 ,15,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
