date,week,car_name,price,engine,seater,
2023.7.31,월,토레스 4WD ,"90,000원",가솔린 ,5,
2023.7.31,월,더 뉴 레이 ,"92,150원",가솔린 ,5,
2023.7.31,월,INTERACTIVE K5 ,"93,500원",가솔린 ,5,
2023.7.31,월,쏘나타 DN8 ,"93,500원",가솔린 ,5,
2023.7.31,월,더 뉴 K3 ,"97,500원",가솔린 ,5,
2023.7.31,월,쏘렌토 MQ4 4WD ,"99,000원",디젤 ,7,
2023.7.31,월,K7 PREMIER ,"105,300원",가솔린 ,5,
2023.7.31,월,더 뉴 그랜저 2.5 ,"105,300원",가솔린 ,5,
2023.7.31,월,K8 2.5 ,"112,500원",가솔린 ,5,
2023.7.31,월,All New G80 2.5 ,"120,000원",가솔린 ,5,
2023.7.31,월,제네시스 G80 3.3 ,"120,000원",가솔린 ,5,
2023.7.31,월,EV6 4WD ,"121,000원",전기 ,5,
2023.7.31,월,더 뉴 싼타페 4WD ,"121,000원",디젤 ,7,
2023.7.31,월,아이오닉 5 4WD ,"121,000원",전기 ,5,
2023.7.31,월,THE NEW G70 2.0 ,"123,200원",가솔린 ,5,
2023.7.31,월,G70 SHOOTING BRAKE ,"126,500원",가솔린 ,5,
2023.7.31,월,더 뉴 카니발 ,"143,000원",디젤 ,9,
2023.7.31,월,TESLA MODEL 3 ,"148,500원",전기 ,5,
2023.7.31,월,팰리세이드 4WD ,"148,500원",디젤 ,8,
2023.7.31,월,THE K9 3.8 ,"152,000원",가솔린 ,5,
2023.7.31,월,GV60 4WD ,"154,000원",전기 ,5,
2023.7.31,월,GV70 4WD ,"154,000원",디젤 ,5,
2023.7.31,월,카니발 KA4 ,"161,000원",디젤 ,9,
2023.7.31,월,카니발 KA4 하이리무진 ,"162,000원",가솔린 ,7,
2023.7.31,월,더 뉴 카니발 리무진 ,"162,500원",디젤 ,7,
2023.7.31,월,GV70 ,"165,000원",전기 ,5,
2023.7.31,월,GV80 4WD ,"180,000원",디젤 ,7,
2023.7.31,월,All New G80 ,"193,500원",전기 ,5,
2023.7.31,월,G90 3.8 ,"196,000원",가솔린 ,5,
2023.7.31,월,쏠라티 ,"385,000원",디젤 ,15,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
